x,y,z
-88.03125,46.02272727272727,121.0
-87.59375,46.02272727272727,127.6
-87.15625,46.02272727272727,127.4
-86.71875,46.02272727272727,128.8
-86.28125,46.02272727272727,134.0
-85.84375,46.02272727272727,138.7
-85.40625,46.02272727272727,135.40001
-84.96875,46.02272727272727,115.700005
-88.03125,45.56818181818182,109.9
-87.59375,45.56818181818182,110.9
-87.15625,45.56818181818182,128.5
-86.71875,45.56818181818182,134.8
-86.28125,45.56818181818182,125.6
-85.84375,45.56818181818182,123.6
-85.40625,45.56818181818182,119.8
-84.96875,45.56818181818182,122.5
-88.03125,45.11363636363637,86.200005
-87.59375,45.11363636363637,97.1
-87.15625,45.11363636363637,103.5
-86.71875,45.11363636363637,102.200005
-86.28125,45.11363636363637,110.4
-85.84375,45.11363636363637,118.6
-85.40625,45.11363636363637,119.4
-84.96875,45.11363636363637,103.5
-88.03125,44.65909090909091,74.4
-87.59375,44.65909090909091,87.3
-87.15625,44.65909090909091,86.9
-86.71875,44.65909090909091,84.700005
-86.28125,44.65909090909091,92.3
-85.84375,44.65909090909091,105.200005
-85.40625,44.65909090909091,112.0
-84.96875,44.65909090909091,98.5
-88.03125,44.20454545454545,70.8
-87.59375,44.20454545454545,72.3
-87.15625,44.20454545454545,81.1
-86.71875,44.20454545454545,79.9
-86.28125,44.20454545454545,92.700005
-85.84375,44.20454545454545,101.200005
-85.40625,44.20454545454545,102.700005
-84.96875,44.20454545454545,98.5
-88.03125,43.75,75.5
-87.59375,43.75,70.9
-87.15625,43.75,71.0
-86.71875,43.75,75.700005
-86.28125,43.75,92.3
-85.84375,43.75,97.1
-85.40625,43.75,100.9
-84.96875,43.75,98.9
-88.03125,43.29545454545455,74.6
-87.59375,43.29545454545455,76.9
-87.15625,43.29545454545455,73.700005
-86.71875,43.29545454545455,71.1
-86.28125,43.29545454545455,80.700005
-85.84375,43.29545454545455,90.6
-85.40625,43.29545454545455,95.700005
-84.96875,43.29545454545455,101.6
-88.03125,42.84090909090909,81.9
-87.59375,42.84090909090909,79.200005
-87.15625,42.84090909090909,78.8
-86.71875,42.84090909090909,78.8
-86.28125,42.84090909090909,85.8
-85.84375,42.84090909090909,89.700005
-85.40625,42.84090909090909,92.3
-84.96875,42.84090909090909,105.0
-88.03125,42.38636363636364,82.8
-87.59375,42.38636363636364,84.3
-87.15625,42.38636363636364,78.700005
-86.71875,42.38636363636364,85.5
-86.28125,42.38636363636364,88.4
-85.84375,42.38636363636364,85.8
-85.40625,42.38636363636364,90.700005
-84.96875,42.38636363636364,102.8
-88.03125,41.93181818181818,82.6
-87.59375,41.93181818181818,77.8
-87.15625,41.93181818181818,81.5
-86.71875,41.93181818181818,81.200005
-86.28125,41.93181818181818,92.6
-85.84375,41.93181818181818,93.4
-85.40625,41.93181818181818,98.0
-84.96875,41.93181818181818,98.700005
-88.03125,41.47727272727273,80.8
-87.59375,41.47727272727273,76.200005
-87.15625,41.47727272727273,79.3
-86.71875,41.47727272727273,77.6
-86.28125,41.47727272727273,94.4
-85.84375,41.47727272727273,96.9
-85.40625,41.47727272727273,99.700005
-84.96875,41.47727272727273,101.5
