,Date,Inflow,Outflow,units,name
0,1979-02-01 12:00:00,0.12999999709427357,0.2299999948590994,m3/s,NWM
1,1979-02-02 12:00:00,0.11999999731779099,0.2299999948590994,m3/s,NWM
2,1979-02-03 12:00:00,0.11999999731779099,0.2299999948590994,m3/s,NWM
3,1979-02-04 12:00:00,0.11999999731779099,0.2299999948590994,m3/s,NWM
4,1979-02-05 12:00:00,0.1099999975413084,0.2299999948590994,m3/s,NWM
5,1979-02-06 12:00:00,0.1099999975413084,0.2299999948590994,m3/s,NWM
6,1979-02-07 12:00:00,0.1099999975413084,0.2299999948590994,m3/s,NWM
7,1979-02-08 12:00:00,0.09999999776482582,0.2299999948590994,m3/s,NWM
8,1979-02-09 12:00:00,0.09999999776482582,0.2299999948590994,m3/s,NWM
9,1979-02-10 12:00:00,0.09999999776482582,0.2299999948590994,m3/s,NWM
10,1979-02-11 12:00:00,0.08999999798834324,0.2299999948590994,m3/s,NWM
11,1979-02-12 12:00:00,0.08999999798834324,0.2299999948590994,m3/s,NWM
12,1979-02-13 12:00:00,0.08999999798834324,0.2299999948590994,m3/s,NWM
13,1979-02-14 12:00:00,0.09999999776482582,0.2299999948590994,m3/s,NWM
14,1979-02-15 12:00:00,0.1099999975413084,0.2299999948590994,m3/s,NWM
15,1979-02-16 12:00:00,0.13999999687075615,0.2299999948590994,m3/s,NWM
16,1979-02-17 12:00:00,0.17999999597668648,0.2299999948590994,m3/s,NWM
17,1979-02-18 12:00:00,0.2199999950826168,0.2299999948590994,m3/s,NWM
18,1979-02-19 12:00:00,0.23999999463558197,0.2299999948590994,m3/s,NWM
19,1979-02-20 12:00:00,0.24999999441206455,0.2299999948590994,m3/s,NWM
20,1979-02-21 12:00:00,0.23999999463558197,0.2299999948590994,m3/s,NWM
21,1979-02-22 12:00:00,0.2299999948590994,0.2299999948590994,m3/s,NWM
22,1979-02-23 12:00:00,0.2199999950826168,0.2299999948590994,m3/s,NWM
23,1979-02-24 12:00:00,0.20999999530613422,0.2299999948590994,m3/s,NWM
24,1979-02-25 12:00:00,0.19999999552965164,0.2299999948590994,m3/s,NWM
25,1979-02-26 12:00:00,0.18999999575316906,0.2299999948590994,m3/s,NWM
26,1979-02-27 12:00:00,0.18999999575316906,0.2299999948590994,m3/s,NWM
27,1979-02-28 12:00:00,0.18999999575316906,0.2299999948590994,m3/s,NWM
28,1979-03-01 12:00:00,0.20999999530613422,0.2299999948590994,m3/s,NWM
29,1979-03-02 12:00:00,0.2699999939650297,0.2299999948590994,m3/s,NWM
30,1979-03-03 12:00:00,0.36999999172985554,0.2299999948590994,m3/s,NWM
31,1979-03-04 12:00:00,0.4499999899417162,0.2299999948590994,m3/s,NWM
32,1979-03-05 12:00:00,0.46999998949468136,0.24999999441206455,m3/s,NWM
33,1979-03-06 12:00:00,0.4599999897181988,0.24999999441206455,m3/s,NWM
34,1979-03-07 12:00:00,0.41999999061226845,0.24999999441206455,m3/s,NWM
35,1979-03-08 12:00:00,0.3799999915063381,0.24999999441206455,m3/s,NWM
36,1979-03-09 12:00:00,0.3499999921768904,0.24999999441206455,m3/s,NWM
37,1979-03-10 12:00:00,0.30999999307096004,0.24999999441206455,m3/s,NWM
38,1979-03-11 12:00:00,0.2799999937415123,0.24999999441206455,m3/s,NWM
39,1979-03-12 12:00:00,0.24999999441206455,0.24999999441206455,m3/s,NWM
40,1979-03-13 12:00:00,0.2199999950826168,0.24999999441206455,m3/s,NWM
41,1979-03-14 12:00:00,0.19999999552965164,0.24999999441206455,m3/s,NWM
42,1979-03-15 12:00:00,0.17999999597668648,0.24999999441206455,m3/s,NWM
43,1979-03-16 12:00:00,0.1599999964237213,0.24999999441206455,m3/s,NWM
44,1979-03-17 12:00:00,0.14999999664723873,0.24999999441206455,m3/s,NWM
45,1979-03-18 12:00:00,0.12999999709427357,0.24999999441206455,m3/s,NWM
46,1979-03-19 12:00:00,0.12999999709427357,0.24999999441206455,m3/s,NWM
47,1979-03-20 12:00:00,0.11999999731779099,0.24999999441206455,m3/s,NWM
48,1979-03-21 12:00:00,0.1099999975413084,0.24999999441206455,m3/s,NWM
49,1979-03-22 12:00:00,0.09999999776482582,0.24999999441206455,m3/s,NWM
50,1979-03-23 12:00:00,0.09999999776482582,0.24999999441206455,m3/s,NWM
51,1979-03-24 12:00:00,0.08999999798834324,0.24999999441206455,m3/s,NWM
52,1979-03-25 12:00:00,0.07999999821186066,0.24999999441206455,m3/s,NWM
53,1979-03-26 12:00:00,0.07999999821186066,0.24999999441206455,m3/s,NWM
54,1979-03-27 12:00:00,0.06999999843537807,0.24999999441206455,m3/s,NWM
55,1979-03-28 12:00:00,0.05999999865889549,0.24999999441206455,m3/s,NWM
56,1979-03-29 12:00:00,0.05999999865889549,0.24999999441206455,m3/s,NWM
57,1979-03-30 12:00:00,0.04999999888241291,0.24999999441206455,m3/s,NWM
58,1979-03-31 12:00:00,0.04999999888241291,0.24999999441206455,m3/s,NWM
59,1979-04-01 12:00:00,0.04999999888241291,0.24999999441206455,m3/s,NWM
60,1979-04-02 12:00:00,0.03999999910593033,0.24999999441206455,m3/s,NWM
61,1979-04-03 12:00:00,0.03999999910593033,0.24999999441206455,m3/s,NWM
62,1979-04-04 12:00:00,0.03999999910593033,0.24999999441206455,m3/s,NWM
63,1979-04-05 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
64,1979-04-06 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
65,1979-04-07 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
66,1979-04-08 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
67,1979-04-09 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
68,1979-04-10 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
69,1979-04-11 12:00:00,0.029999999329447746,0.24999999441206455,m3/s,NWM
70,1979-04-12 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
71,1979-04-13 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
72,1979-04-14 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
73,1979-04-15 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
74,1979-04-16 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
75,1979-04-17 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
76,1979-04-18 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
77,1979-04-19 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
78,1979-04-20 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
79,1979-04-21 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
80,1979-04-22 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
81,1979-04-23 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
82,1979-04-24 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
83,1979-04-25 12:00:00,0.019999999552965164,0.24999999441206455,m3/s,NWM
