x,y,z
-95.23417197333441,48.230332692464195,74.24597
-95.14524968465169,48.230332692464195,73.764626
-95.05632739596896,48.230332692464195,72.91135
-94.96740510728624,48.230332692464195,71.89616
-94.87848281860352,48.230332692464195,70.69718
-94.78956052992079,48.230332692464195,70.18958
-94.70063824123807,48.230332692464195,70.084564
-94.61171595255534,48.230332692464195,70.43026
-94.52279366387262,48.230332692464195,70.62717
-95.23417197333441,48.14699935913086,70.67968
-95.14524968465169,48.14699935913086,69.96204
-95.05632739596896,48.14699935913086,69.55072
-94.96740510728624,48.14699935913086,68.850586
-94.87848281860352,48.14699935913086,68.58804
-94.78956052992079,48.14699935913086,68.32549
-94.70063824123807,48.14699935913086,69.06938
-94.61171595255534,48.14699935913086,69.83077
-94.52279366387262,48.14699935913086,70.6403
-95.23417197333441,48.063666025797524,70.10645
-95.14524968465169,48.063666025797524,69.80889
-95.05632739596896,48.063666025797524,69.79139
-94.96740510728624,48.063666025797524,70.28585
-94.87848281860352,48.063666025797524,70.596535
-94.78956052992079,48.063666025797524,71.20915
-94.70063824123807,48.063666025797524,71.974915
-94.61171595255534,48.063666025797524,72.635666
-94.52279366387262,48.063666025797524,73.37518
-95.23417197333441,47.980332692464195,69.91829
-95.14524968465169,47.980332692464195,69.65137
-95.05632739596896,47.980332692464195,70.80658
-94.96740510728624,47.980332692464195,71.83927
-94.87848281860352,47.980332692464195,73.2264
-94.78956052992079,47.980332692464195,74.34661
-94.70063824123807,47.980332692464195,74.94172
-94.61171595255534,47.980332692464195,75.51933
-94.52279366387262,47.980332692464195,75.886894
-95.23417197333441,47.89699935913086,70.16334
-95.14524968465169,47.89699935913086,69.94017
-95.05632739596896,47.89699935913086,71.384186
-94.96740510728624,47.89699935913086,72.72756
-94.87848281860352,47.89699935913086,74.377235
-94.78956052992079,47.89699935913086,75.43181
-94.70063824123807,47.89699935913086,75.94378
-94.61171595255534,47.89699935913086,75.895645
-94.52279366387262,47.89699935913086,76.13632
-95.23417197333441,47.813666025797524,71.16102
-95.14524968465169,47.813666025797524,70.81971
-95.05632739596896,47.813666025797524,71.40606
-94.96740510728624,47.813666025797524,72.39062
-94.87848281860352,47.813666025797524,72.8457
-94.78956052992079,47.813666025797524,73.392685
-94.70063824123807,47.813666025797524,73.025116
-94.61171595255534,47.813666025797524,72.52627
-94.52279366387262,47.813666025797524,72.009926
